REG,COM,Nom,HApoly,Surfacesbois,Airbat,POPTOT,HApoly.cat,POPTOT.cat,DOM
1,6621,Geneve,1593,67,773,177964,2,5,1
1,5586,Lausanne,4136,1635,856,124914,3,5,1
1,6643,Vernier,765,98,240,29559,1,4,1
1,6266,Sion,2562,277,315,27171,2,4,1
1,6628,Lancy,477,47,207,25688,1,4,1
1,5938,Yverdon-les-Bains,1127,86,278,24376,2,4,1
1,5886,Montreux,3340,1641,351,22454,3,4,1
1,6630,Meyrin,996,66,232,19548,1,4,1
1,5591,Renens (VD),296,9,117,18406,1,4,1
1,6608,Carouge (GE),269,25,86,17590,1,4,1
1,6631,Onex,285,54,126,16419,1,4,1
1,5890,Vevey,239,14,120,16202,1,4,1
1,5724,Nyon,683,55,206,16182,1,4,1
1,5590,Pully,585,152,207,16034,1,4,1
1,6136,Martigny,2497,992,189,14361,2,4,1
1,6248,Sierre,1918,423,191,14317,2,4,1
1,5642,Morges,386,16,152,14154,1,4,1
1,6153,Monthey,2864,1300,221,13933,2,4,1
1,6640,Thonex,380,22,176,12141,1,3,1
1,6002,Brig-Glis,3808,1783,155,11590,3,3,1
1,5589,Prilly,219,13,102,10955,1,3,1
1,6644,Versoix,1050,418,202,10309,1,3,1
1,5889,La Tour-de-Peilz,330,15,141,10230,1,3,1
1,5635,Ecublens (VD),571,73,148,10227,1,3,1
1,6612,Chene-Bougeries,412,45,248,9759,1,3,1
1,5721,Gland,831,115,144,9663,1,3,1
1,6607,Bernex,1299,232,126,9076,2,3,1
1,6645,Veyrier,650,97,205,8892,1,3,1
1,5606,Lutry,846,174,162,8270,1,3,1
1,6623,Le Grand-Saconnex,436,12,134,8114,1,3,1
1,5401,Aigle,1636,627,117,7955,2,3,1
1,5584,Epalinges,457,127,161,7516,1,3,1
1,6007,Naters,10117,907,114,7515,4,3,1
1,5624,Bussigny-pres-Lausanne,482,97,81,7498,1,3,1
1,5822,Payerne,2419,353,145,7294,2,3,1
1,6613,Chene-Bourg,129,11,71,7221,1,3,1
1,6633,Plan-les-Ouates,591,32,128,6804,1,3,1
1,5583,Crissier,550,147,80,6577,1,3,1
1,6297,Visp,1317,788,70,6550,2,3,1
1,6031,Bagnes,28225,3541,258,6536,5,3,1
1,6616,Collonge-Bellerive,613,41,259,6344,1,3,1
1,6023,Conthey,8497,2076,180,6261,4,3,1
1,5409,Ollon,5959,2664,303,6257,3,3,1
1,5627,Chavannes-pres-Renens,165,14,38,6063,1,3,1
1,6300,Zermatt,24269,1022,87,5988,5,3,1
1,5402,Bex,9660,3112,176,5973,4,3,1
1,6152,Collombey-Muraz,2984,1155,123,5695,2,3,1
1,6133,Fully,3776,1046,87,5587,3,3,1
1,6024,Nendaz,8600,2681,250,5350,4,3,1
1,6265,Saviese,7093,1078,183,5341,4,3,1
1,5587,Le Mont-sur-Lausanne,981,189,142,5182,1,2,1
1,5757,Orbe,1202,37,96,5139,2,2,1
1,6617,Cologny,367,40,201,4697,1,2,1
1,5881,Blonay,1604,715,202,4695,2,2,1
1,5678,Moudon,1568,549,94,4371,2,2,1
1,5568,Sainte-Croix,3943,1918,139,4333,3,2,1
1,5872,Le Chenit,9922,6545,144,4297,4,2,1
1,5518,Echallens,666,89,67,4281,1,2,1
1,5861,Rolle,272,18,78,4235,1,2,1
1,5646,Saint-Prex,551,43,115,4210,1,2,1
1,5414,Villeneuve (VD),3208,1717,54,4180,3,2,1
1,5643,Preverenges,185,8,67,4078,1,2,1
1,5888,Saint-Legier-La Chiesaz,1512,675,133,4068,2,2,1
1,6025,Vetroz,1045,199,80,3691,1,2,1
1,6217,Saint-Maurice,703,301,72,3596,1,2,1
1,6156,Troistorrents,3698,1856,138,3567,3,2,1
1,6110,Leuk,4416,2158,86,3361,3,2,1
1,6240,Lens,1391,516,136,3357,2,2,1
1,6141,Saxon,2323,1175,93,3312,2,2,1
1,5764,Vallorbe,2318,1568,78,3247,2,2,1
1,5884,Corsier-sur-Vevey,674,216,63,3200,1,2,1
1,5725,Prangins,603,83,99,3133,1,2,1
1,5611,Savigny,1600,486,110,3084,2,2,1
1,5592,Romanel-sur-Lausanne,287,8,40,3068,1,2,1
1,6618,Confignon,274,23,66,3033,1,2,1
1,6634,Pregny-Chambesy,326,63,157,3009,1,2,1
1,6082,Ayent,5513,1274,139,3001,3,2,1
1,5407,Leysin,1853,688,87,2998,2,2,1
1,6244,Randogne,1688,509,114,2963,2,2,1
1,6159,Vouvry,3354,1205,75,2960,3,2,1
1,5841,Chateau-d'Oex,11378,3901,155,2949,4,2,1
1,5582,Cheseaux-sur-Lausanne,460,67,50,2939,1,2,1
1,5648,Saint-Sulpice (VD),185,10,81,2914,1,2,1
1,6638,Satigny,1897,368,95,2785,2,2,1
1,5749,Chavornay,1107,178,62,2785,2,2,1
1,6632,Perly-Certoux,248,11,33,2782,1,2,1
1,5561,Grandson,790,85,67,2759,1,2,1
1,6234,Chermignon,538,160,76,2711,1,2,1
1,6232,Chalais,2446,1660,107,2657,2,2,1
1,5717,Founex,480,12,107,2648,1,2,1
1,6034,Orsieres,16503,4163,118,2630,5,2,1
1,5711,Commugny,652,131,89,2603,1,2,1
1,5882,Chardonne,1031,383,94,2601,1,2,1
1,5422,Aubonne,688,92,62,2570,1,2,1
1,5477,Cossonay,832,182,54,2558,1,2,1
1,5451,Avenches,1643,276,55,2544,2,2,1
1,6022,Chamoson,3247,993,107,2497,3,2,1
1,6154,Port-Valais,1434,771,58,2364,2,2,1
1,5712,Coppet,187,7,87,2360,1,2,1
1,5581,Belmont-sur-Lausanne,264,79,52,2358,1,2,1
1,5607,Puidoux,2286,565,70,2339,2,2,1
1,6642,Vandoeuvres,439,44,150,2333,1,2,1
1,6263,Grimisuat,444,84,83,2331,1,2,1
1,6243,Montana,489,206,76,2305,1,2,1
1,6292,St.Niklaus,8925,1924,69,2304,4,2,1
1,6021,Ardon,2035,627,49,2295,2,2,1
1,5636,Etoy,493,33,41,2289,1,2,1
1,5495,Penthalaz,387,70,49,2283,1,2,1
1,5939,Yvonand,1338,442,62,2278,2,2,1
1,6636,Puplinge,268,14,36,2258,1,2,1
1,5675,Lucens,627,229,46,2221,1,2,1
1,6139,Riddes,2387,886,89,2197,2,2,1
1,6622,Genthod,285,40,110,2171,1,2,1
1,6135,Leytron,2686,753,78,2128,2,2,1
1,6605,Bardonnex,500,26,44,2094,1,2,1
1,5633,Echandens,387,67,57,2085,1,2,1
1,5883,Corseaux,107,0,51,2079,1,2,1
1,5601,Chexbres,214,30,32,2041,1,2,1
1,6602,Anieres,387,30,84,2031,1,2,1
1,6641,Troinex,339,21,68,2030,1,2,1
1,5516,Cugy (VD),295,110,48,1992,1,2,1
